count,c
17,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType14
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType13
17,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType12
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType11
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType18
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType17
17,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType16
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType15
7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType7
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8
7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer
6,http://xmlns.com/foaf/0.1/Person
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType10
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType21
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review
