count,p
14,http://www.w3.org/2000/01/rdf-schema#comment
3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2
8,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3
13,http://purl.org/dc/elements/1.1/date
95,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6
4745,http://www.w3.org/2000/01/rdf-schema#label
2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5
21,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer
3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4
7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual4
13,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual5
41,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature
144,http://www.w3.org/2000/01/rdf-schema#comment
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6
3,http://purl.org/dc/elements/1.1/date
16,http://www.w3.org/2000/01/rdf-schema#comment
20,http://www.w3.org/2000/01/rdf-schema#label
23,http://www.w3.org/2000/01/rdf-schema#comment
3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2
10,http://purl.org/dc/elements/1.1/date
15,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6
70,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4
23,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6
