count,c
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType45
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType121
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType33
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType133
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType29
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType17
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType61
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118
6,http://xmlns.com/foaf/0.1/Person
17,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType21
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType97
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType68
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType44
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType144
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType28
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType16
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType72
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType105
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType117
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType60
17,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType129
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType32
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType20
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType84
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType47
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType35
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType23
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType11
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType99
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59
15,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType19
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType7
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType108
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType91
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType87
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63
17,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType51
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType46
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType34
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType22
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType18
14,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150
7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType90
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType50
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119
