count,c
303,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69
367,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57
272,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType45
129,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType121
355,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType33
139,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType133
361,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType29
482,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType17
395,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9
297,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType61
190,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106
159,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118
1112,http://xmlns.com/foaf/0.1/Person
118,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134
479,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType21
143,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146
221,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType97
188,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85
201,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73
276,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType68
227,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120
273,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56
157,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132
206,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType44
109,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType144
399,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType28
373,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType16
9504,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
574,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8
216,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType72
188,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType105
129,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType117
349,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType60
95,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType129
351,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType32
464,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType20
244,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96
167,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType84
214,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType47
335,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType35
489,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType23
504,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType11
193,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType99
196,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111
192,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59
37,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151
381,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType19
1056,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType7
209,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType108
239,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType91
222,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType87
236,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112
311,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75
218,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124
153,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136
215,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63
87,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148
146,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType51
266,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58
250,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType46
390,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType34
185,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110
313,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType22
206,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122
536,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType18
37,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150
67,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor
307,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType90
1918,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
136,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType50
218,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107
127,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119
215,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98
172,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123
577,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType10
318,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86
131,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType135
226,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType74
113,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147
344,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62
496,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType25
64,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType141
571,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType13
262,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89
326,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77
221,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType49
421,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType37
13046,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
392,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
2351,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5
113,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType138
195,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType93
218,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType81
333,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType65
22217,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review
226,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType53
287,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType102
319,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType41
281,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType114
168,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType126
363,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType36
569,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType24
508,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType12
365,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType88
197,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType100
169,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType48
91,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType140
3107,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
230,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType109
64,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType149
258,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType92
296,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType80
328,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType101
275,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType76
184,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType113
253,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType64
190,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType125
109,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType52
32,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType137
310,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType40
154,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType131
210,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType79
68,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType143
41208,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer
328,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType67
66,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType55
