count,c
95,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69
115,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57
70,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType45
25,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType121
95,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType33
25,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType133
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType29
160,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType17
115,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9
90,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType61
40,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106
30,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118
503,http://xmlns.com/foaf/0.1/Person
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134
150,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType21
30,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146
50,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType97
55,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85
55,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73
75,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType68
60,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120
75,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56
30,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132
40,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType44
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType144
115,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType28
115,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType16
4745,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
190,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8
60,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType72
45,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType105
25,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType117
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType60
15,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType129
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType32
165,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType20
65,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96
45,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType84
40,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType47
90,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType35
160,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType23
165,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType11
45,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType99
50,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111
45,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151
105,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType19
240,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType7
55,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType108
65,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType91
60,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType87
60,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112
95,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75
50,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124
30,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136
60,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63
15,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148
25,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType51
70,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58
55,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType46
120,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType34
40,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType22
45,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122
170,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType18
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor
95,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType90
525,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
25,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType50
55,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119
55,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98
35,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123
190,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType10
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType135
65,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType74
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147
105,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62
160,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType25
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType141
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType13
70,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89
95,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77
50,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType49
125,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType37
5000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
151,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
720,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType138
50,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType93
70,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType81
