count,c
300,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69
364,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57
126,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType121
136,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType133
294,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType61
187,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106
156,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118
1112,http://xmlns.com/foaf/0.1/Person
115,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134
140,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146
218,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType97
185,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85
198,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73
224,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120
273,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType68
154,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132
270,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56
106,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType144
9504,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
185,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType105
213,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType72
126,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType117
346,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType60
92,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType129
241,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96
164,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType84
193,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111
190,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType99
34,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151
189,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59
206,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType108
236,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType91
233,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112
219,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType87
215,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124
308,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75
150,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136
212,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63
84,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148
263,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58
182,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110
203,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122
34,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150
67,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor
304,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType90
215,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107
124,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119
169,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123
212,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98
128,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType135
315,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86
110,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147
223,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType74
341,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62
61,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType141
259,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89
323,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77
12991,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
