count,p,sType
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType121
9,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122
6,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType126
151,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
16,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106
14,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58
12,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType70
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150
3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType70
7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124
11,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75
13,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType74
9,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType125
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120
9,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122
18,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType105
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151
9,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59
16,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType72
7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75
13,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType74
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType121
5,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType128
