"count","p"
46,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
26,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
18,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
18,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
16,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
14,"http://www.w3.org/2000/01/rdf-schema#label"
22,"http://www.w3.org/2000/01/rdf-schema#label"
9,"http://www.w3.org/2000/01/rdf-schema#label"
15,"http://www.w3.org/2000/01/rdf-schema#label"
19,"http://www.w3.org/2000/01/rdf-schema#label"
13,"http://www.w3.org/2000/01/rdf-schema#label"
11,"http://www.w3.org/2000/01/rdf-schema#label"
15,"http://www.w3.org/2000/01/rdf-schema#comment"
4,"http://www.w3.org/2000/01/rdf-schema#comment"
6,"http://www.w3.org/2000/01/rdf-schema#comment"
12,"http://www.w3.org/2000/01/rdf-schema#comment"
6,"http://www.w3.org/2000/01/rdf-schema#comment"
16,"http://www.w3.org/2000/01/rdf-schema#comment"
19,"http://www.w3.org/2000/01/rdf-schema#comment"
8,"http://www.w3.org/2000/01/rdf-schema#comment"
13,"http://www.w3.org/2000/01/rdf-schema#comment"
7,"http://www.w3.org/2000/01/rdf-schema#comment"
5,"http://www.w3.org/2000/01/rdf-schema#comment"
1,"http://www.w3.org/2000/01/rdf-schema#comment"
20000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validFrom"
10000,"http://purl.org/dc/elements/1.1/date"
1000,"http://purl.org/dc/elements/1.1/date"
3,"http://purl.org/dc/elements/1.1/date"
11,"http://purl.org/dc/elements/1.1/date"
10,"http://purl.org/dc/elements/1.1/date"
9,"http://purl.org/dc/elements/1.1/date"
7,"http://purl.org/dc/elements/1.1/date"
8,"http://purl.org/dc/elements/1.1/date"
18,"http://purl.org/dc/elements/1.1/date"
12,"http://purl.org/dc/elements/1.1/date"
1,"http://purl.org/dc/elements/1.1/date"
11,"http://purl.org/dc/elements/1.1/publisher"
15,"http://purl.org/dc/elements/1.1/publisher"
20,"http://purl.org/dc/elements/1.1/publisher"
9,"http://purl.org/dc/elements/1.1/publisher"
18,"http://purl.org/dc/elements/1.1/publisher"
3,"http://purl.org/dc/elements/1.1/publisher"
