"count","c"
103,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148"
388,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107"
670,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69"
254,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType127"
575,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType68"
590,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType80"
150,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147"
174,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType117"
547,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56"
379,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122"
585,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71"
700,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77"
323,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111"
67,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType141"
35,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151"
84,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor"
107995,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review"
215,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146"
118,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType129"
167,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType135"
397,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98"
154,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer"
321,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType125"
