"count","p"
20000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/deliveryDays"
10000,"http://purl.org/stuff/rev#reviewer"
34,"http://xmlns.com/foaf/0.1/homepage"
20000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/price"
1000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3"
551,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual5"
20000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/offerWebpage"
36433,"http://purl.org/dc/elements/1.1/publisher"
206,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6"
503,"http://xmlns.com/foaf/0.1/name"
20000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/vendor"
492,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual4"
20000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product"
1000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1"
36433,"http://purl.org/dc/elements/1.1/date"
1000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2"
10000,"http://purl.org/dc/elements/1.1/title"
5930,"http://www.w3.org/2000/01/rdf-schema#label"
150,"http://www.w3.org/2000/01/rdf-schema#subClassOf"
1000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer"
36433,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
6973,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating3"
10000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewDate"
1000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature"
7004,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating4"
7014,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating1"
7004,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating2"
491,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4"
201,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6"
20000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validFrom"
1000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual1"
20000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validTo"
5930,"http://www.w3.org/2000/01/rdf-schema#comment"
1000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3"
1000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual2"
541,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5"
10000,"http://purl.org/stuff/rev#text"
503,"http://xmlns.com/foaf/0.1/mbox_sha1sum"
537,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/country"
10000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor"

