"count","p","oType"
91,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110"
147,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110"
220,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57"
79,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85"
226,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType80"
89,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType100"
45,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType131"
185,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58"
250,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107"
219,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType91"
35,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150"
86,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType135"
218,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType104"
261,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType137"
378,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86"
226,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType78"
122,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107"
21,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType116"
97,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63"
122,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType97"
167,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62"
218,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType101"
339,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56"
175,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85"
94,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType131"
161,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType114"
119,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96"
60,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136"
130,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType79"
84,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType142"
220,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112"
44,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118"
29,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119"
65,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType130"
203,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69"
149,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType81"
85,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132"
323,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62"
195,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType93"
336,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType90"
304,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType64"
96,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59"
228,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111"
88,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147"
130,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType104"
107,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType139"
182,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86"
108,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType83"
165,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType125"
214,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType60"
137,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71"
139,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType109"
311,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType76"
121,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123"
52,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType144"
102,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111"
