"count","c","p"
46,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
26,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType105","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
16,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
14,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58","http://www.w3.org/2000/01/rdf-schema#label"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType67","http://www.w3.org/2000/01/rdf-schema#label"
9,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122","http://www.w3.org/2000/01/rdf-schema#label"
15,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType82","http://www.w3.org/2000/01/rdf-schema#label"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType90","http://www.w3.org/2000/01/rdf-schema#label"
13,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType74","http://www.w3.org/2000/01/rdf-schema#label"
11,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98","http://www.w3.org/2000/01/rdf-schema#label"
15,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType83","http://www.w3.org/2000/01/rdf-schema#comment"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119","http://www.w3.org/2000/01/rdf-schema#comment"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132","http://www.w3.org/2000/01/rdf-schema#comment"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63","http://www.w3.org/2000/01/rdf-schema#comment"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType127","http://www.w3.org/2000/01/rdf-schema#comment"
16,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71","http://www.w3.org/2000/01/rdf-schema#comment"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77","http://www.w3.org/2000/01/rdf-schema#comment"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType94","http://www.w3.org/2000/01/rdf-schema#comment"
13,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType64","http://www.w3.org/2000/01/rdf-schema#comment"
