"count","c"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType133"
6,"http://xmlns.com/foaf/0.1/Person"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType126"
13,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType137"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType149"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType90"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType92"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType94"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType109"
15,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType141"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77"
5,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType104"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType114"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType99"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType93"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType100"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType127"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType87"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType67"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType117"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType125"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType60"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType82"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType116"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType108"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType78"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType72"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType101"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType81"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType83"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType105"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType115"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType143"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType113"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType144"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType65"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType129"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType84"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType103"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType80"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType95"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType130"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType131"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType139"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118"
15,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType79"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType88"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType76"
14,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType91"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType135"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType97"
19,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType64"
