count,p,sType
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validFrom,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
67,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review
7,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
4,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5
6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Person
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/country,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
10,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
289,http://www.w3.org/2000/01/rdf-schema#comment,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
108,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
6,http://purl.org/dc/elements/1.1/date,http://xmlns.com/foaf/0.1/Person
100,http://purl.org/stuff/rev#text,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review
289,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
289,http://purl.org/dc/elements/1.1/date,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
66,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review
200,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer
1,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
1,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
1,http://xmlns.com/foaf/0.1/homepage,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer
2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
100,http://purl.org/dc/elements/1.1/title,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
1,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validTo,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/vendor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer
5,http://www.w3.org/2000/01/rdf-schema#comment,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewDate,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
