count,p
100,http://purl.org/stuff/rev#text
318,http://www.w3.org/2000/01/rdf-schema#comment
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer
66,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating3
6,http://www.w3.org/2000/01/rdf-schema#subClassOf
78,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating1
8,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/country
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/deliveryDays
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3
426,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature
8,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual5
624,http://purl.org/dc/elements/1.1/publisher
8,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4
2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6
100,http://purl.org/dc/elements/1.1/title
6,http://xmlns.com/foaf/0.1/mbox_sha1sum
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor
6,http://xmlns.com/foaf/0.1/name
2,http://xmlns.com/foaf/0.1/homepage
318,http://www.w3.org/2000/01/rdf-schema#label
67,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating4
78,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating2
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual1
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual2
8,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual4
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validTo
644,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
100,http://purl.org/stuff/rev#reviewer
2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewDate
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/vendor
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/offerWebpage
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validFrom
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/price
624,http://purl.org/dc/elements/1.1/date
