"count","c"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5"
100,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer"
289,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4"
6,"http://xmlns.com/foaf/0.1/Person"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product"
5,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6"

