count,p
1000,http://purl.org/stuff/rev#text
1124,http://www.w3.org/2000/01/rdf-schema#comment
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer
691,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating3
20,http://www.w3.org/2000/01/rdf-schema#subClassOf
717,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating1
54,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/country
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/deliveryDays
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature
53,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual5
4174,http://purl.org/dc/elements/1.1/publisher
44,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4
16,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6
1000,http://purl.org/dc/elements/1.1/title
50,http://xmlns.com/foaf/0.1/mbox_sha1sum
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2
50,http://xmlns.com/foaf/0.1/name
4,http://xmlns.com/foaf/0.1/homepage
1124,http://www.w3.org/2000/01/rdf-schema#label
701,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating4
713,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating2
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual1
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual2
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validTo
49,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual4
4174,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
1000,http://purl.org/stuff/rev#reviewer
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewDate
17,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/vendor
53,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/offerWebpage
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validFrom
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/price
4174,http://purl.org/dc/elements/1.1/date
