"count","p"
54,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/country"
100,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1"
100,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2"
16,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6"
53,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual5"
2000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/vendor"
1000,"http://purl.org/stuff/rev#reviewer"
50,"http://xmlns.com/foaf/0.1/mbox_sha1sum"
2000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/deliveryDays"
1000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor"
2375,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature"
100,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3"
4,"http://xmlns.com/foaf/0.1/homepage"
53,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5"
17,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6"
2000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/price"
713,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating2"
2000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validTo"
1000,"http://purl.org/stuff/rev#text"
4174,"http://purl.org/dc/elements/1.1/publisher"
2000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product"
691,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating3"
1000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewDate"
1124,"http://www.w3.org/2000/01/rdf-schema#label"
20,"http://www.w3.org/2000/01/rdf-schema#subClassOf"
1000,"http://purl.org/dc/elements/1.1/title"
4274,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
100,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual2"
49,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual4"
1124,"http://www.w3.org/2000/01/rdf-schema#comment"
2000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/offerWebpage"
44,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4"
100,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3"
50,"http://xmlns.com/foaf/0.1/name"
100,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer"
100,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual1"
701,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating4"
717,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating1"
2000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validFrom"
4174,"http://purl.org/dc/elements/1.1/date"

