count,p,oType
384,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType67
198,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType79
133,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType72
214,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType60
119,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96
88,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType84
48,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132
52,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType144
145,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120
218,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType104
60,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType128
34,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType116
394,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType66
226,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType78
172,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType61
79,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85
127,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73
36,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134
50,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146
122,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType97
46,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType121
23,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType133
194,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType115
227,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType103
107,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType139
130,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType127
447,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77
303,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89
1000,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
104,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType74
43,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147
167,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62
133,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98
