count,p
10000,http://purl.org/stuff/rev#text
6930,http://www.w3.org/2000/01/rdf-schema#comment
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer
6973,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating3
150,http://www.w3.org/2000/01/rdf-schema#subClassOf
7014,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating1
537,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/country
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/deliveryDays
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3
41096,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature
1102,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual5
37433,http://purl.org/dc/elements/1.1/publisher
982,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4
402,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6
10000,http://purl.org/dc/elements/1.1/title
503,http://xmlns.com/foaf/0.1/mbox_sha1sum
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2
10000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor
503,http://xmlns.com/foaf/0.1/name
34,http://xmlns.com/foaf/0.1/homepage
6930,http://www.w3.org/2000/01/rdf-schema#label
7004,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating4
7004,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating2
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual1
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual2
984,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual4
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validTo
39433,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
10000,http://purl.org/stuff/rev#reviewer
412,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6
10000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewDate
1082,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/vendor
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/offerWebpage
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validFrom
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/price
37433,http://purl.org/dc/elements/1.1/date
