"count","c"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107"
38,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType127"
30,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType68"
38,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType80"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType117"
30,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122"
32,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71"
38,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77"
20,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType141"
2,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor"
10000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType129"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType135"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType125"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73"
30,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType76"
20,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType93"
26,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType64"
26,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType74"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType144"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136"
16,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118"
40,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType60"
6,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType116"
26,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96"
42,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62"
30,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType82"
36,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType66"
24,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType72"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType84"
22,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType104"
4745,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature"
28,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89"
24,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType87"
24,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112"
46,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType149"
14,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType130"
24,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63"
18,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType100"
16,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType113"
26,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType92"
26,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType91"
