count,c
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69
23,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType121
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType133
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType61
8,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106
6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118
503,http://xmlns.com/foaf/0.1/Person
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134
6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType97
11,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85
11,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73
15,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType68
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType120
15,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56
6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType144
4745,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType72
9,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType105
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType117
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType60
3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType129
13,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96
9,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType84
9,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType99
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111
9,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType59
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType151
11,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType108
13,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType91
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType87
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124
6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63
3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148
14,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58
8,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110
9,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType90
11,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119
11,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType98
7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType135
13,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType74
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType147
21,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62
2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType141
14,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
151,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType138
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType93
14,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType81
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType65
10000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review
17,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType102
15,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType114
6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType126
23,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType88
9,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType100
3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType140
13,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType109
2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType149
13,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType92
19,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType80
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType101
15,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType76
8,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType113
13,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType64
9,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType125
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType137
7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType131
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType79
2,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType143
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer
22,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType67
3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType116
15,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType83
22,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer
16,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType128
11,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType104
13,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType95
7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType130
3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType142
11,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType78
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType66
6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType127
8,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType94
15,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType82
6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType139
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType70
9,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType103
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType115
