count,c
1968,http://dbpedia.org/ontology/Musical
5307,http://dbpedia.org/ontology/PrimeMinister
36902,http://dbpedia.org/ontology/AmericanFootballPlayer
36244,http://dbpedia.org/ontology/Airport
382741,http://dbpedia.org/ontology/Animal
627,http://dbpedia.org/ontology/WineRegion
29776,http://dbpedia.org/ontology/Writer
60506,http://dbpedia.org/ontology/Politician
547250,http://dbpedia.org/ontology/Eukaryote
3614,http://dbpedia.org/ontology/Monarch
629,http://dbpedia.org/ontology/Ambassador
93357,http://dbpedia.org/ontology/Film
1064,http://dbpedia.org/ontology/WrestlingEvent
7198,http://dbpedia.org/ontology/Governor
69428,http://dbpedia.org/ontology/Stream
1711,http://dbpedia.org/ontology/VoiceActor
5006,http://dbpedia.org/ontology/ShoppingMall
849,http://dbpedia.org/ontology/Artery
7046,http://dbpedia.org/ontology/SportsEvent
8112,http://dbpedia.org/ontology/Weapon
25944,http://dbpedia.org/ontology/Station
1536078,http://dbpedia.org/ontology/Place
603,http://dbpedia.org/ontology/Muscle
2900,http://dbpedia.org/ontology/GrandPrix
3876,http://dbpedia.org/ontology/EthnicGroup
6440,http://dbpedia.org/ontology/Crustacean
20,http://dbpedia.org/ontology/CricketLeague
11200,http://dbpedia.org/ontology/BritishRoyalty
947920,http://dbpedia.org/ontology/Settlement
37784,http://dbpedia.org/ontology/BaseballPlayer
22,http://dbpedia.org/ontology/SpaceShuttle
7220,http://dbpedia.org/ontology/President
12,http://dbpedia.org/ontology/AustralianFootballLeague
40,http://dbpedia.org/ontology/LacrosseLeague
1315,http://dbpedia.org/ontology/MusicFestival
17864,http://dbpedia.org/ontology/Cleric
2983,http://dbpedia.org/ontology/SportsLeague
29966,http://dbpedia.org/ontology/Amphibian
14846,http://dbpedia.org/ontology/Aircraft
195,http://dbpedia.org/ontology/Sport
73709,http://dbpedia.org/ontology/Company
7688,http://dbpedia.org/ontology/AnatomicalStructure
21124,http://dbpedia.org/ontology/IceHockeyPlayer
223,http://dbpedia.org/ontology/College
16,http://dbpedia.org/ontology/TennisLeague
6811,http://dbpedia.org/ontology/Wrestler
11505,http://dbpedia.org/ontology/Song
10167,http://dbpedia.org/ontology/Cyclist
196,http://dbpedia.org/ontology/AmericanFootballLeague
2526,http://dbpedia.org/ontology/Activity
48,http://dbpedia.org/ontology/FieldHockeyLeague
36529,http://dbpedia.org/ontology/SoccerClub
209,http://dbpedia.org/ontology/Olympics
4061,http://dbpedia.org/ontology/Hospital
256,http://dbpedia.org/ontology/RugbyLeague
283,http://dbpedia.org/ontology/Chancellor
