count,p
1941,http://dbpedia.org/property/metOrEng_percent_3F
7561,http://dbpedia.org/property/updateProteinBox
1,http://dbpedia.org/property/flbckt
1,http://dbpedia.org/property/_75pxMap
27,http://dbpedia.org/property/farEastQualifier
4,http://dbpedia.org/property/homes
1,http://dbpedia.org/property/foreignRemittance
1285,http://dbpedia.org/property/numTeams
6,http://dbpedia.org/property/t8high
48,http://dbpedia.org/property/anticlockwise
1,http://dbpedia.org/property/bullpen
2,http://dbpedia.org/property/bar22Left
339,http://dbpedia.org/property/privatedwell
1,http://dbpedia.org/property/arba
376,http://dbpedia.org/ontology/chancellor
48,http://dbpedia.org/property/phoneNum
8,http://dbpedia.org/property/supervisor
3,http://dbpedia.org/property/areaServered
5,http://dbpedia.org/property/outOfDateDate
5,http://dbpedia.org/property/li
249,http://dbpedia.org/property/decile
3,http://dbpedia.org/property/overlay3left
23,http://dbpedia.org/property/home8player
8,http://dbpedia.org/property/lon3Deg
19,http://dbpedia.org/property/examplefarm
5,http://dbpedia.org/property/madein
1,http://dbpedia.org/property/week209Color
1,http://dbpedia.org/property/hoursInADay
14,http://dbpedia.org/property/week1325Color
44,http://dbpedia.org/property/rd2t7Loc
187,http://dbpedia.org/property/zoodivision
14,http://dbpedia.org/property/otherMembers
553,http://dbpedia.org/property/books
1753,http://dbpedia.org/property/launchDate
20,http://dbpedia.org/property/week17dropped
1901,http://dbpedia.org/ontology/headquarters
1,http://dbpedia.org/property/sponsorParty
2,http://dbpedia.org/property/jointChiefStart
12,http://dbpedia.org/property/lunarLanding
8,http://dbpedia.org/property/animators
16,http://dbpedia.org/property/photoAlt
2,http://dbpedia.org/property/menDraw
1,http://dbpedia.org/property/dmajor
9,http://dbpedia.org/property/lg
3,http://dbpedia.org/property/mmppk1y
2,http://dbpedia.org/property/saScoreTop
103,http://dbpedia.org/property/standard
1,http://dbpedia.org/property/parentCoordinator
16,http://dbpedia.org/ontology/functionStartDate
1,http://dbpedia.org/property/lon5Sec
1,http://dbpedia.org/property/commissioners
1,http://dbpedia.org/property/intendantParty
9947,http://dbpedia.org/ontology/office
4,http://dbpedia.org/property/escalator
1,http://dbpedia.org/property/t11played
1,http://dbpedia.org/property/christina
1,http://dbpedia.org/property/feuColors
764,http://dbpedia.org/property/sound
43641,http://dbpedia.org/property/unitPref
6,http://dbpedia.org/property/otherExits
120,http://dbpedia.org/property/dts
161,http://dbpedia.org/property/hm2Enter
8,http://dbpedia.org/property/statabel
1,http://dbpedia.org/property/hakchinesename
6717,http://dbpedia.org/property/deliveries
570,http://dbpedia.org/property/ld
1,http://dbpedia.org/property/seniorViceChairman
5,http://dbpedia.org/property/week71Color
3,http://dbpedia.org/ontology/SpaceMission/lunarEvaTime
2056,http://dbpedia.org/property/conf
4,http://dbpedia.org/property/almaeMatres
2,http://dbpedia.org/property/hm35Stat
2353,http://dbpedia.org/property/nativeNameLang
914,http://dbpedia.org/property/currentStatus
52,http://dbpedia.org/property/frontTrack
2,http://dbpedia.org/property/branch/unit
2,http://dbpedia.org/property/governingRegion
1,http://dbpedia.org/property/image1Alt
1548,http://dbpedia.org/property/armament
1,http://dbpedia.org/property/genealogy
8,http://dbpedia.org/property/liveMembers
1,http://dbpedia.org/property/_797108VehicleCodeRange
3,http://dbpedia.org/property/chaptersOpened
1,http://dbpedia.org/property/jointDirector
1,http://dbpedia.org/property/SodahMountainIs3025MLeaderTitle
3,http://dbpedia.org/property/youthgoals
2,http://dbpedia.org/property/joint
1,http://dbpedia.org/property/wabAwards
6,http://dbpedia.org/property/footerBackground
15,http://dbpedia.org/property/greenhouseyear
8,http://dbpedia.org/property/telescope7Type
1,http://dbpedia.org/property/flashcomp
1,http://dbpedia.org/property/gameOracle
