count,p
100,http://purl.org/stuff/rev#text
308,http://www.w3.org/2000/01/rdf-schema#comment
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer
3,http://www.w3.org/2000/01/rdf-schema#subClassOf
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating3
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating1
7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/country
8,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/deliveryDays
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3
143,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual5
4,http://purl.org/dc/elements/1.1/publisher
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6
100,http://purl.org/dc/elements/1.1/title
6,http://xmlns.com/foaf/0.1/mbox_sha1sum
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor
6,http://xmlns.com/foaf/0.1/name
2,http://xmlns.com/foaf/0.1/homepage
308,http://www.w3.org/2000/01/rdf-schema#label
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating4
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating2
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual1
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual2
4,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual4
107,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validTo
11,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
6,http://purl.org/stuff/rev#reviewer
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6
90,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewDate
5,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/vendor
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/offerWebpage
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3
103,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validFrom
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/price
173,http://purl.org/dc/elements/1.1/date
