count,c
127,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType14
279,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType13
233,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType12
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer
236,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType11
301,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType18
336,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType17
287,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType16
244,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType15
7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor
3907,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
4995,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
125,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
559,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType7
268,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
254,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9
289,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8
21,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer
300,http://xmlns.com/foaf/0.1/Person
123,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType21
371,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType10
10822,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review
