count,c
23725,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
905,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
438,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType39
8359,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
592,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56
930,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57
583,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58
1522,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8
722,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86
570,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89
944,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9
154,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer
39030,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1
1438,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType24
39030,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
1181,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType23
8317,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3
10533,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType2
266,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118
5644,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5
671,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType22
365,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85
1380,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType12
863,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType65
75,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType149
187,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType54
1878,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType7
1503,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType10
830,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType60
331,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType110
684,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType35
1526,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType13
821,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType67
112,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148
172,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType119
421,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType107
772,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType33
288,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType130
555,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType45
4299,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
383,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType115
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType37
804,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType16
383,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73
112,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType116
301,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType38
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType133
457,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType46
1383,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType18
626,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType76
459,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType87
1236,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType17
767,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType75
233,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146
395,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType53
421,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124
769,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType42
1347,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType14
727,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType69
406,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType122
676,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType41
257,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType132
956,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType28
509,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96
1121,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType21
574,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType83
1242,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType11
423,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63
466,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType112
773,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType36
447,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType97
800,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType29
370,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType99
270,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123
272,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType127
521,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType43
1069,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType15
633,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType71
868,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType88
823,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType19
438,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType78
620,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType68
819,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType62
757,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType77
547,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType82
858,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType27
322,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType94
1098,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType20
451,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType81
348,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType125
500,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType109
