count,p,sType
4745,http://purl.org/dc/elements/1.1/date,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
4745,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
4745,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
4745,http://www.w3.org/2000/01/rdf-schema#comment,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
4745,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
151,http://purl.org/dc/elements/1.1/date,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
151,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
151,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
151,http://www.w3.org/2000/01/rdf-schema#comment,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
151,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
150,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
10,http://purl.org/dc/elements/1.1/date,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType39
10,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType39
50,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType39
10,http://www.w3.org/2000/01/rdf-schema#comment,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType39
10,http://www.w3.org/2000/01/rdf-schema#label,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType39
