count,p,oType
20548,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
4000,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
150,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
149,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType39
73,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType39
4382,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
2257,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
339,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56
441,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57
220,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57
185,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58
117,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType58
780,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8
380,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8
378,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86
182,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType86
303,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89
154,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType89
360,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9
213,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9
1022,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1
10000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1
713,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType24
390,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType24
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
10000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
630,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType23
328,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType23
4661,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3
2291,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3
5084,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType2
2576,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType2
93,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118
44,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118
2960,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5
1443,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5
359,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType22
167,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType22
175,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85
79,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType85
711,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType12
