count,p
36433,http://purl.org/dc/elements/1.1/date
36433,http://purl.org/dc/elements/1.1/publisher
40433,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
5930,http://www.w3.org/2000/01/rdf-schema#comment
5930,http://www.w3.org/2000/01/rdf-schema#label
150,http://www.w3.org/2000/01/rdf-schema#subClassOf
537,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/country
34,http://xmlns.com/foaf/0.1/homepage
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer
20548,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3
541,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual1
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual2
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3
492,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual4
491,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4
551,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual5
201,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6
206,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6
503,http://xmlns.com/foaf/0.1/mbox_sha1sum
503,http://xmlns.com/foaf/0.1/name
10000,http://purl.org/dc/elements/1.1/title
10000,http://purl.org/stuff/rev#reviewer
10000,http://purl.org/stuff/rev#text
7004,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating2
6973,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating3
10000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewDate
10000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor
7014,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating1
7004,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating4
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/deliveryDays
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/offerWebpage
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/price
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validFrom
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validTo
20000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/vendor
