count,p
4174,http://purl.org/dc/elements/1.1/date
4174,http://purl.org/dc/elements/1.1/publisher
4274,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
1124,http://www.w3.org/2000/01/rdf-schema#comment
1124,http://www.w3.org/2000/01/rdf-schema#label
20,http://www.w3.org/2000/01/rdf-schema#subClassOf
54,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/country
4,http://xmlns.com/foaf/0.1/homepage
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer
2375,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3
53,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual1
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual2
100,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3
49,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual4
44,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4
53,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual5
16,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6
17,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6
50,http://xmlns.com/foaf/0.1/mbox_sha1sum
50,http://xmlns.com/foaf/0.1/name
1000,http://purl.org/dc/elements/1.1/title
1000,http://purl.org/stuff/rev#reviewer
1000,http://purl.org/stuff/rev#text
713,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating2
691,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating3
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewDate
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor
717,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating1
701,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating4
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/deliveryDays
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/offerWebpage
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/price
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validFrom
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validTo
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/vendor
