count,c
999,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
21,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType
20,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType10
200,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product
14,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType11
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType12
6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType14
10,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType15
12,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType16
14,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType17
16,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType18
6,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType21
16,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6
28,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType7
18,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8
14,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9
3,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer
14,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType13
50,http://xmlns.com/foaf/0.1/Person
1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor
1000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review
2000,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer
