"count","p","oType"
150,"http://www.w3.org/2000/01/rdf-schema#subClassOf","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType"
65,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType130"
138,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType92"
139,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType109"
93,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118"
194,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType115"
34,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType116"
121,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType123"
195,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType93"
119,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType96"
72,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106"
36,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134"
243,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType70"
184,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType84"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType137"
16,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType137"
10000,"http://purl.org/stuff/rev#reviewer","http://xmlns.com/foaf/0.1/Person"
12,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType148"
127,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType73"
110,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType99"
68,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType94"
226,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType80"
89,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType100"
52,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType113"
160,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56"
106,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType94"
124,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType113"
172,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType61"
228,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType111"
35,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType150"
178,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType106"
96,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType134"
1022,"http://purl.org/dc/elements/1.1/publisher","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer"
146,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType87"
20000,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product"
44,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType118"
87,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType115"
103,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType146"
153,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType124"
238,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType63"
410,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType88"
307,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType82"
392,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType80"
199,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType100"
394,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType66"
60,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType136"
30,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType141"
130,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType104"
60,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType128"
