"count","c"
3763,"http://dbpedia.org/ontology/AmericanFootballLeague"
7483545,"http://www.opengis.net/gml/_Feature"
34953,"http://dbpedia.org/ontology/MusicFestival"
5597124,"http://dbpedia.org/ontology/Place"
74633,"http://dbpedia.org/ontology/Newspaper"
3150,"http://dbpedia.org/ontology/Vein"
38874,"http://dbpedia.org/ontology/Arachnid"
36504,"http://dbpedia.org/ontology/TennisPlayer"
1409786,"http://xmlns.com/foaf/0.1/Person"
24751,"http://dbpedia.org/ontology/Park"
254248,"http://dbpedia.org/ontology/Planet"
66065,"http://dbpedia.org/ontology/IceHockeyPlayer"
1368,"http://dbpedia.org/ontology/ClubMoss"
8757,"http://dbpedia.org/ontology/Brain"
293688,"http://dbpedia.org/ontology/Writer"
143,"http://dbpedia.org/ontology/MixedMartialArtsLeague"
7042,"http://dbpedia.org/ontology/WineRegion"
373204,"http://dbpedia.org/ontology/University"
652,"http://dbpedia.org/ontology/CanadianFootballLeague"
47795,"http://dbpedia.org/ontology/Cyclist"
817880,"http://dbpedia.org/ontology/Film"
129482,"http://dbpedia.org/ontology/Fish"
14068,"http://dbpedia.org/ontology/AutomobileEngine"
99,"http://dbpedia.org/ontology/SoftballLeague"
46446,"http://dbpedia.org/ontology/WorldHeritageSite"
29290,"http://dbpedia.org/ontology/Architect"
485280,"http://dbpedia.org/ontology/Politician"
28123,"http://dbpedia.org/ontology/Legislature"
28777,"http://dbpedia.org/ontology/FigureSkater"
992058,"http://dbpedia.org/ontology/Animal"
138585,"http://dbpedia.org/ontology/BritishRoyalty"
252560,"http://dbpedia.org/ontology/VideoGame"
44154,"http://dbpedia.org/ontology/OlympicResult"
10959,"http://dbpedia.org/ontology/Conifer"
77941,"http://dbpedia.org/ontology/Reptile"
27841,"http://dbpedia.org/ontology/Crustacean"
215569,"http://dbpedia.org/ontology/MilitaryUnit"
28485,"http://dbpedia.org/ontology/Game"
120,"http://dbpedia.org/ontology/PoloLeague"
37029,"http://dbpedia.org/ontology/Criminal"
49878,"http://dbpedia.org/ontology/SportsLeague"
58869,"http://dbpedia.org/ontology/Airline"
53357,"http://dbpedia.org/ontology/AnatomicalStructure"
161459,"http://dbpedia.org/ontology/FictionalCharacter"
14446,"http://dbpedia.org/ontology/LunarCrater"
55038,"http://dbpedia.org/ontology/ComicsCreator"
131648,"http://dbpedia.org/ontology/EthnicGroup"
27051,"http://dbpedia.org/ontology/Boxer"
5551,"http://dbpedia.org/ontology/Artery"
66289,"http://dbpedia.org/ontology/Saint"
38287,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
75503,"http://dbpedia.org/ontology/PrimeMinister"
16112,"http://dbpedia.org/ontology/GrandPrix"
8453,"http://dbpedia.org/ontology/FilmFestival"
16388,"http://dbpedia.org/ontology/Currency"
836,"http://dbpedia.org/ontology/MotorcycleRacingLeague"
54158,"http://dbpedia.org/ontology/Philosopher"
35112,"http://dbpedia.org/ontology/AdultActor"
3943,"http://dbpedia.org/ontology/Cave"
9853,"http://dbpedia.org/ontology/Colour"
747,"http://dbpedia.org/ontology/InlineHockeyLeague"
5176,"http://dbpedia.org/ontology/Nerve"
4404,"http://dbpedia.org/ontology/GreenAlga"
6348,"http://dbpedia.org/ontology/Bone"
446007,"http://dbpedia.org/ontology/Plant"
188901,"http://dbpedia.org/ontology/GridironFootballPlayer"
7039,"http://dbpedia.org/ontology/SiteOfSpecialScientificInterest"
365314,"http://dbpedia.org/ontology/SoccerClub"
87233,"http://dbpedia.org/ontology/MemberOfParliament"
