"count","p"
176,"http://dbpedia.org/property/debutyear"
3835,"http://dbpedia.org/property/history"
3,"http://dbpedia.org/property/maxThermalFlux"
33,"http://dbpedia.org/property/unitaryWales"
59,"http://dbpedia.org/property/minister2Pfo"
33,"http://dbpedia.org/property/patterns"
5,"http://dbpedia.org/property/changes"
3,"http://dbpedia.org/property/careerMilestone"
2,"http://dbpedia.org/property/annualTurnover"
2,"http://dbpedia.org/property/chiefCustodian"
2,"http://dbpedia.org/property/gamehighs"
1,"http://dbpedia.org/property/tye"
29,"http://dbpedia.org/ontology/configuration"
1,"http://dbpedia.org/property/statusFunctional"
1,"http://dbpedia.org/property/mayRainfallMm"
2,"http://dbpedia.org/property/companionSeries"
470,"http://dbpedia.org/property/idnumber"
11,"http://dbpedia.org/property/musicGenre"
23,"http://dbpedia.org/property/wpitcherRecord"
2,"http://dbpedia.org/property/usnwrEc"
6,"http://dbpedia.org/property/wcchampions"
525,"http://dbpedia.org/ontology/targetAirport"
1,"http://dbpedia.org/property/agency6Down"
1,"http://dbpedia.org/property/fy2009EstimatedRevenue"
1,"http://dbpedia.org/property/dissenting"
73,"http://dbpedia.org/property/nextNo"
1,"http://dbpedia.org/property/special_percent_C6_percent_91x"
1,"http://dbpedia.org/property/isi"
57,"http://dbpedia.org/property/deceleration"
1,"http://dbpedia.org/property/ifuAffiliation"
27,"http://dbpedia.org/property/apgP"
1,"http://dbpedia.org/property/mediaTypePrint"
1,"http://dbpedia.org/property/othrtitle"
15,"http://dbpedia.org/property/leapedinto"
2,"http://dbpedia.org/property/wsopMainEventCashes"
1,"http://dbpedia.org/property/lastAppeared"
1,"http://dbpedia.org/property/imageExample"
55,"http://dbpedia.org/property/foundedOn"
1,"http://dbpedia.org/property/conditions"
5,"http://dbpedia.org/property/motorbauart"
191,"http://dbpedia.org/property/ceased"
12,"http://dbpedia.org/property/rd1Score06Agg"
56,"http://dbpedia.org/property/typing"
4,"http://dbpedia.org/property/stat2league"
1,"http://dbpedia.org/property/daughterinlaw"
285,"http://dbpedia.org/property/janRecLo_percent_C2_percent_B0c"
1,"http://dbpedia.org/property/_percent_28est._percent_29AreaMagnitude"
4,"http://dbpedia.org/property/future"
1,"http://dbpedia.org/property/mentored"
1,"http://dbpedia.org/property/sportPratiqu_percent_C3_percent_A9"
5,"http://dbpedia.org/property/mostRecentPremiership"
1,"http://dbpedia.org/property/standby"
12,"http://dbpedia.org/property/semicha"
1,"http://dbpedia.org/property/provinceLocatorSize"
1,"http://dbpedia.org/property/importStatus"
133,"http://dbpedia.org/ontology/Planet/temperature"
4,"http://dbpedia.org/property/www"
33,"http://dbpedia.org/property/staffing"
23,"http://dbpedia.org/property/olympicFirst"
1,"http://dbpedia.org/property/*Pov"
18,"http://dbpedia.org/property/fossil"
2,"http://dbpedia.org/property/livesNow"
1,"http://dbpedia.org/property/televisionShows"
1,"http://dbpedia.org/property/heihgt"
1,"http://dbpedia.org/property/spacestation"
1,"http://dbpedia.org/property/telescope22Type"
1,"http://dbpedia.org/property/bsbFastestLaps"
1,"http://dbpedia.org/property/inaretQuantity"
1,"http://dbpedia.org/property/dataPib"
38,"http://dbpedia.org/property/natvar"
19863,"http://dbpedia.org/property/genre"
25,"http://dbpedia.org/property/yeardend"
78,"http://dbpedia.org/property/latDegrees"
1,"http://dbpedia.org/property/_2005pop_percent_28est_percent_29"
1,"http://dbpedia.org/property/_percent_3Bohsv"
4,"http://dbpedia.org/property/nickn"
2,"http://dbpedia.org/property/spillwayCapacity"
4,"http://dbpedia.org/property/revenues"
4,"http://dbpedia.org/property/swath"
3,"http://dbpedia.org/property/p4bstop"
1,"http://dbpedia.org/property/salvadoran"
1,"http://dbpedia.org/property/dateFormats"
1,"http://dbpedia.org/property/t10d"
1,"http://dbpedia.org/property/amountSocialProperties"
1,"http://dbpedia.org/property/landborders"
1,"http://dbpedia.org/property/playstationLifestyle"
1,"http://dbpedia.org/property/eb"
629,"http://dbpedia.org/property/febPrecipMm"
212,"http://dbpedia.org/property/subsequent"
1,"http://dbpedia.org/property/conf3Champ"
24,"http://dbpedia.org/property/totalType"
2,"http://dbpedia.org/property/minimimcurve"
1,"http://dbpedia.org/property/feederSchool"
1,"http://dbpedia.org/property/type10var"
13,"http://dbpedia.org/property/iptvServ"
2,"http://dbpedia.org/property/fundingPerStudent"
1,"http://dbpedia.org/property/funicularsTitol"
1,"http://dbpedia.org/property/nonprofit"
2,"http://dbpedia.org/property/vernacular"
1,"http://dbpedia.org/property/pillar"
3,"http://dbpedia.org/property/imageCoatCaption"
16,"http://dbpedia.org/property/plane1Name"
1,"http://dbpedia.org/property/captiona"
1,"http://dbpedia.org/property/lonm"
