"count","p","oType"
1,"http://dbpedia.org/property/populationBlank1Title","http://dbpedia.org/ontology/EthnicGroup"
13,"http://dbpedia.org/property/upstream","http://dbpedia.org/ontology/HistoricPlace"
4,"http://dbpedia.org/property/north","http://dbpedia.org/ontology/HistoricPlace"
42,"http://dbpedia.org/property/builders","http://dbpedia.org/ontology/HistoricPlace"
1,"http://dbpedia.org/property/setting","http://dbpedia.org/ontology/HistoricPlace"
2,"http://dbpedia.org/property/unit","http://dbpedia.org/ontology/HistoricPlace"
2,"http://dbpedia.org/ontology/subsidiary","http://dbpedia.org/ontology/HistoricPlace"
2,"http://dbpedia.org/property/developer","http://dbpedia.org/ontology/HistoricPlace"
50,"http://dbpedia.org/property/eventEnd","http://dbpedia.org/ontology/MilitaryConflict"
1,"http://dbpedia.org/property/introduced","http://dbpedia.org/ontology/MilitaryConflict"
3,"http://dbpedia.org/property/prev","http://dbpedia.org/ontology/MilitaryConflict"
1,"http://dbpedia.org/property/demolished","http://dbpedia.org/ontology/MilitaryConflict"
1,"http://dbpedia.org/property/owner","http://dbpedia.org/ontology/MusicFestival"
4,"http://dbpedia.org/property/wr2Starter","http://dbpedia.org/ontology/AmericanFootballPlayer"
1,"http://dbpedia.org/property/aproducer","http://dbpedia.org/ontology/AmericanFootballPlayer"
23,"http://dbpedia.org/property/writer","http://dbpedia.org/ontology/AmericanFootballPlayer"
4,"http://dbpedia.org/property/visitorcoach","http://dbpedia.org/ontology/AmericanFootballPlayer"
5,"http://dbpedia.org/property/spouse","http://dbpedia.org/ontology/AmericanFootballPlayer"
364,"http://dbpedia.org/property/representative","http://dbpedia.org/ontology/Congressman"
4,"http://dbpedia.org/property/architect","http://dbpedia.org/ontology/Congressman"
4,"http://dbpedia.org/property/chancellor","http://dbpedia.org/ontology/Congressman"
3,"http://dbpedia.org/property/relations","http://dbpedia.org/ontology/Congressman"
6084,"http://xmlns.com/foaf/0.1/primaryTopic","http://dbpedia.org/ontology/Cricketer"
19,"http://dbpedia.org/property/writer","http://dbpedia.org/ontology/Journalist"
11,"http://dbpedia.org/property/presenters","http://dbpedia.org/ontology/Journalist"
2,"http://dbpedia.org/property/hm","http://dbpedia.org/ontology/Journalist"
405,"http://dbpedia.org/property/predecessor","http://dbpedia.org/ontology/Judge"
1,"http://dbpedia.org/ontology/associatedBand","http://dbpedia.org/ontology/Journalist"
2770,"http://dbpedia.org/property/wikilink","http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete"
3574,"http://dbpedia.org/property/draftTeam","http://dbpedia.org/ontology/HockeyTeam"
