"count","p"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/offerWebpage"
78,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating1"
8,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/country"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/product"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/deliveryDays"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/price"
5,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric6"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric3"
614,"http://purl.org/dc/elements/1.1/publisher"
308,"http://www.w3.org/2000/01/rdf-schema#label"
67,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating4"
6,"http://www.w3.org/2000/01/rdf-schema#subClassOf"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4"
614,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
100,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual1"
100,"http://purl.org/dc/elements/1.1/title"
100,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewDate"
78,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating2"
6,"http://xmlns.com/foaf/0.1/name"
100,"http://purl.org/stuff/rev#text"
614,"http://purl.org/dc/elements/1.1/date"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validFrom"
66,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating3"
2,"http://xmlns.com/foaf/0.1/homepage"
6,"http://xmlns.com/foaf/0.1/mbox_sha1sum"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual2"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/vendor"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual4"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual5"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual6"
308,"http://www.w3.org/2000/01/rdf-schema#comment"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature"
100,"http://purl.org/stuff/rev#reviewer"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric1"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validTo"

