"count","c","p"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product","http://www.w3.org/2000/01/rdf-schema#label"
3,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric5"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/vendor"
6,"http://xmlns.com/foaf/0.1/Person","http://xmlns.com/foaf/0.1/name"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/validTo"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType","http://purl.org/dc/elements/1.1/date"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer","http://purl.org/dc/elements/1.1/publisher"
5,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer"
100,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/price"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5","http://www.w3.org/2000/01/rdf-schema#comment"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
289,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature","http://purl.org/dc/elements/1.1/date"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/producer"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productFeature"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual1"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual3"
200,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Offer","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2"
6,"http://xmlns.com/foaf/0.1/Person","http://purl.org/dc/elements/1.1/date"
6,"http://xmlns.com/foaf/0.1/Person","http://xmlns.com/foaf/0.1/mbox_sha1sum"
78,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating1"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType","http://www.w3.org/2000/01/rdf-schema#label"
10,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric2"
5,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6","http://purl.org/dc/elements/1.1/date"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyNumeric4"
2,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual4"
4,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Product","http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/productPropertyTextual5"
7,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType","http://purl.org/dc/elements/1.1/publisher"
1,"http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer","http://xmlns.com/foaf/0.1/homepage"
