"count","p"
40,"http://dbpedia.org/property/gemeindeverwaltungsverband"
437,"http://dbpedia.org/property/ind2avg"
1,"http://dbpedia.org/property/loaedWeightMain"
114,"http://dbpedia.org/ontology/supplies"
242,"http://dbpedia.org/property/archbishopOf"
21,"http://dbpedia.org/property/inventName"
4,"http://dbpedia.org/property/playbill"
21,"http://dbpedia.org/property/servingRailway"
48,"http://dbpedia.org/property/tx"
109,"http://dbpedia.org/property/merged"
72,"http://dbpedia.org/property/nomenhiero"
385,"http://dbpedia.org/property/transitType"
1,"http://dbpedia.org/property/chlDraft"
1,"http://dbpedia.org/property/usnwrPolsci"
4,"http://dbpedia.org/property/peakOut"
8,"http://dbpedia.org/property/tekst"
146,"http://dbpedia.org/property/openingYear"
28,"http://dbpedia.org/property/footballChamp"
8,"http://dbpedia.org/property/abolishmentdate"
42,"http://dbpedia.org/property/hcties"
11,"http://dbpedia.org/property/rusName"
27,"http://dbpedia.org/property/worldChamp2Name"
5,"http://dbpedia.org/property/ruYear4end"
2,"http://dbpedia.org/property/cityFlag"
14,"http://dbpedia.org/property/artDirection"
3,"http://dbpedia.org/property/internetLink"
156,"http://dbpedia.org/property/varietals"
1,"http://dbpedia.org/property/rrest"
72,"http://dbpedia.org/property/blankTitle"
1,"http://dbpedia.org/property/theatricalRun"
6,"http://dbpedia.org/property/timezonePst"
3,"http://dbpedia.org/property/ocgupation"
1,"http://dbpedia.org/property/webEditor"
1,"http://dbpedia.org/property/lastChampionship"
10,"http://dbpedia.org/property/r5Date"
1,"http://dbpedia.org/property/_percent_28NowCalledAsSapBusinessObjects_percent_29CompanyLogo"
6,"http://dbpedia.org/property/rCanceledMw"
2,"http://dbpedia.org/property/staffNumber"
5,"http://dbpedia.org/property/amkolosses"
1,"http://dbpedia.org/property/code3Type"
11,"http://dbpedia.org/property/countymagistrate"
11,"http://dbpedia.org/property/countytree"
1,"http://dbpedia.org/property/can2Week"
2,"http://dbpedia.org/property/can8Week"
1,"http://dbpedia.org/property/waterSource"
1,"http://dbpedia.org/property/totalShipsConverted"
10,"http://dbpedia.org/property/peak11a"
13,"http://dbpedia.org/property/peak3a"
1,"http://dbpedia.org/property/citeStat"
