"count","c"
913,"http://dbpedia.org/ontology/Eukaryote"
172,"http://dbpedia.org/ontology/Game"
43,"http://dbpedia.org/ontology/Artery"
34,"http://dbpedia.org/ontology/AutoRacingLeague"
74,"http://dbpedia.org/ontology/PokerPlayer"
208,"http://dbpedia.org/ontology/ShoppingMall"
102,"http://dbpedia.org/ontology/Cyclist"
24,"http://dbpedia.org/ontology/PoloLeague"
1105,"http://dbpedia.org/ontology/Software"
298,"http://dbpedia.org/ontology/Congressman"
3091,"http://xmlns.com/foaf/0.1/Person"
398,"http://dbpedia.org/ontology/Ship"
91,"http://dbpedia.org/ontology/Fern"
253,"http://dbpedia.org/ontology/Magazine"
311,"http://dbpedia.org/ontology/Automobile"
146,"http://dbpedia.org/ontology/Lighthouse"
162,"http://dbpedia.org/ontology/RecordLabel"
187,"http://dbpedia.org/ontology/Comedian"
406,"http://dbpedia.org/ontology/Single"
67,"http://dbpedia.org/ontology/Cave"
257,"http://dbpedia.org/ontology/Road"
118,"http://dbpedia.org/ontology/College"
62,"http://dbpedia.org/ontology/Sport"
1395,"http://dbpedia.org/ontology/City"
116,"http://dbpedia.org/ontology/Arachnid"
296,"http://dbpedia.org/ontology/CollegeCoach"
429,"http://dbpedia.org/ontology/BritishRoyalty"
213,"http://dbpedia.org/ontology/Non-ProfitOrganisation"
945,"http://dbpedia.org/ontology/OfficeHolder"
308,"http://dbpedia.org/ontology/Mollusca"
223,"http://dbpedia.org/ontology/FloweringPlant"
20,"http://dbpedia.org/ontology/AustralianFootballLeague"
46,"http://dbpedia.org/ontology/LacrosseLeague"
622,"http://dbpedia.org/ontology/ProtectedArea"
166,"http://dbpedia.org/ontology/Disease"
333,"http://dbpedia.org/ontology/Cleric"
52,"http://dbpedia.org/ontology/Race"
57,"http://dbpedia.org/ontology/SiteOfSpecialScientificInterest"
1009,"http://dbpedia.org/ontology/MusicalArtist"
149,"http://dbpedia.org/ontology/Crustacean"
29,"http://dbpedia.org/ontology/WomensTennisAssociationTournament"
59,"http://dbpedia.org/ontology/Olympics"
84,"http://dbpedia.org/ontology/PlayboyPlaymate"
44,"http://dbpedia.org/ontology/FilmFestival"
2141,"http://dbpedia.org/ontology/AdministrativeRegion"
67,"http://dbpedia.org/ontology/BaseballLeague"
1435,"http://dbpedia.org/ontology/MeanOfTransportation"
23,"http://dbpedia.org/ontology/SpeedwayLeague"
5465,"http://dbpedia.org/ontology/Organisation"
2556,"http://dbpedia.org/ontology/EducationalInstitution"
106,"http://dbpedia.org/ontology/MusicFestival"
587,"http://dbpedia.org/ontology/GridironFootballPlayer"
731,"http://dbpedia.org/ontology/Animal"
208,"http://dbpedia.org/ontology/Judge"
200,"http://dbpedia.org/ontology/Activity"
55,"http://dbpedia.org/ontology/Cycad"
968,"http://dbpedia.org/ontology/Town"
115,"http://dbpedia.org/ontology/VoiceActor"
6437,"http://dbpedia.org/ontology/Place"
31,"http://dbpedia.org/ontology/MotorcycleRacingLeague"
162,"http://dbpedia.org/ontology/FormulaOneRacer"
1829,"http://dbpedia.org/ontology/Artist"
75,"http://dbpedia.org/ontology/Spacecraft"
360,"http://dbpedia.org/ontology/Device"
234,"http://dbpedia.org/ontology/Fish"
222,"http://dbpedia.org/ontology/Model"
1469,"http://dbpedia.org/ontology/Company"
424,"http://dbpedia.org/ontology/Bridge"
38,"http://dbpedia.org/ontology/Gnetophytes"
296,"http://dbpedia.org/ontology/MemberOfParliament"
110,"http://dbpedia.org/ontology/GrandPrix"
216,"http://dbpedia.org/ontology/ComicsCharacter"
46,"http://dbpedia.org/ontology/Bone"
125,"http://dbpedia.org/ontology/Architect"
41,"http://dbpedia.org/ontology/Vein"
243,"http://dbpedia.org/ontology/EthnicGroup"
33,"http://dbpedia.org/ontology/Continent"
35,"http://dbpedia.org/ontology/InlineHockeyLeague"
617,"http://dbpedia.org/ontology/Aircraft"
95,"http://dbpedia.org/ontology/SoccerLeague"
155,"http://dbpedia.org/ontology/Currency"
20,"http://dbpedia.org/ontology/SoftballLeague"
28,"http://dbpedia.org/ontology/TennisLeague"
106,"http://dbpedia.org/ontology/MusicGenre"
186,"http://dbpedia.org/ontology/Valley"
71,"http://dbpedia.org/ontology/Award"
200,"http://dbpedia.org/ontology/Mayor"
228,"http://dbpedia.org/ontology/SportsEvent"
176,"http://dbpedia.org/ontology/Planet"
50,"http://dbpedia.org/ontology/Archaea"
780,"http://dbpedia.org/ontology/BodyOfWater"
33,"http://dbpedia.org/ontology/VolleyballLeague"
187,"http://dbpedia.org/ontology/ChemicalCompound"
32,"http://dbpedia.org/ontology/HandballLeague"
92,"http://dbpedia.org/ontology/Canal"
964,"http://dbpedia.org/ontology/Film"
228,"http://dbpedia.org/ontology/Insect"
874,"http://dbpedia.org/ontology/Country"
