"count","p","oType"
1,"http://dbpedia.org/property/narrator","http://dbpedia.org/ontology/AdultActor"
1,"http://dbpedia.org/property/office","http://dbpedia.org/ontology/Hospital"
1,"http://dbpedia.org/property/originalairdate","http://dbpedia.org/ontology/Person"
35,"http://dbpedia.org/property/patron","http://dbpedia.org/ontology/Person"
1,"http://dbpedia.org/property/pictureFormat","http://dbpedia.org/ontology/Work"
1,"http://dbpedia.org/property/proTem","http://dbpedia.org/ontology/MilitaryPerson"
1,"http://dbpedia.org/property/proTem","http://dbpedia.org/ontology/Congressman"
10,"http://dbpedia.org/property/products","http://www.opengis.net/gml/_Feature"
2031,"http://dbpedia.org/property/range","http://www.opengis.net/gml/_Feature"
9,"http://dbpedia.org/property/requirements","http://dbpedia.org/ontology/Work"
2,"http://dbpedia.org/property/route","http://dbpedia.org/ontology/Building"
82,"http://dbpedia.org/property/song","http://dbpedia.org/ontology/Single"
60,"http://dbpedia.org/property/station","http://dbpedia.org/ontology/MeanOfTransportation"
17,"http://dbpedia.org/property/subdivisionName","http://dbpedia.org/ontology/BodyOfWater"
1,"http://dbpedia.org/property/subdivisionName","http://dbpedia.org/ontology/Organisation"
3,"http://dbpedia.org/property/terminusB","http://dbpedia.org/ontology/ProtectedArea"
40,"http://dbpedia.org/property/depots","http://www.opengis.net/gml/_Feature"
46,"http://dbpedia.org/property/reason","http://dbpedia.org/ontology/MilitaryConflict"
1,"http://dbpedia.org/ontology/countryWithFirstAstronaut","http://dbpedia.org/ontology/Country"
1,"http://dbpedia.org/property/alias","http://dbpedia.org/ontology/Album"
3,"http://dbpedia.org/property/main2ndDriver","http://www.w3.org/2002/07/owl#Thing"
3,"http://dbpedia.org/property/main2ndDriver","http://dbpedia.org/ontology/Athlete"
3,"http://dbpedia.org/property/main2ndDriver","http://dbpedia.org/ontology/Person"
1,"http://dbpedia.org/property/qf1Details","http://www.w3.org/2002/07/owl#Thing"
1,"http://dbpedia.org/property/benchPf","http://dbpedia.org/ontology/Person"
12,"http://dbpedia.org/property/playerOfOdiSeries","http://dbpedia.org/ontology/Cricketer"
3,"http://dbpedia.org/property/poold","http://dbpedia.org/ontology/PopulatedPlace"
5,"http://dbpedia.org/property/team2OdisMostWickets","http://dbpedia.org/ontology/Person"
13,"http://dbpedia.org/ontology/subject","http://dbpedia.org/ontology/PopulatedPlace"
4,"http://dbpedia.org/ontology/subject","http://dbpedia.org/ontology/Company"
1,"http://dbpedia.org/ontology/subject","http://dbpedia.org/ontology/Actor"
3,"http://dbpedia.org/property/birthplace","http://dbpedia.org/ontology/Animal"
1,"http://dbpedia.org/property/mens","http://xmlns.com/foaf/0.1/Person"
317,"http://dbpedia.org/property/st","http://dbpedia.org/ontology/Place"
30,"http://dbpedia.org/property/st","http://dbpedia.org/ontology/City"
439,"http://dbpedia.org/property/subdivision","http://www.w3.org/2002/07/owl#Thing"
10,"http://dbpedia.org/property/subject","http://dbpedia.org/ontology/Activity"
7,"http://dbpedia.org/property/away4player","http://dbpedia.org/ontology/SoccerPlayer"
4,"http://dbpedia.org/property/home11player","http://dbpedia.org/ontology/Athlete"
11,"http://dbpedia.org/property/homeman","http://dbpedia.org/ontology/Person"
4,"http://dbpedia.org/property/titles","http://dbpedia.org/ontology/Automobile"
22,"http://dbpedia.org/property/syndicates","http://dbpedia.org/ontology/RadioStation"
1,"http://dbpedia.org/property/translatedby","http://dbpedia.org/ontology/Writer"
399,"http://dbpedia.org/ontology/arrondissement","http://dbpedia.org/ontology/Place"
226,"http://dbpedia.org/ontology/formerPartner","http://dbpedia.org/ontology/Person"
8,"http://dbpedia.org/ontology/intercommunality","http://www.w3.org/2002/07/owl#Thing"
4,"http://dbpedia.org/ontology/prospectTeam","http://dbpedia.org/ontology/Organisation"
1,"http://dbpedia.org/ontology/prospectTeam","http://www.opengis.net/gml/_Feature"
14,"http://dbpedia.org/ontology/relation","http://dbpedia.org/ontology/Governor"
185,"http://dbpedia.org/ontology/relation","http://dbpedia.org/ontology/Politician"
1,"http://dbpedia.org/ontology/rector","http://dbpedia.org/ontology/Athlete"
389,"http://dbpedia.org/ontology/relative","http://www.w3.org/2002/07/owl#Thing"
1,"http://dbpedia.org/property/ancestry","http://dbpedia.org/ontology/Island"
321,"http://dbpedia.org/property/countryAdminDivisions","http://www.w3.org/2002/07/owl#Thing"
321,"http://dbpedia.org/property/countryAdminDivisions","http://dbpedia.org/ontology/Place"
394,"http://dbpedia.org/property/countryAdminDivisions","http://www.opengis.net/gml/_Feature"
6,"http://dbpedia.org/property/debutstadium","http://dbpedia.org/ontology/Settlement"
105,"http://dbpedia.org/property/familiaAuthority","http://dbpedia.org/ontology/Person"
13,"http://dbpedia.org/property/federalsubject","http://www.w3.org/2002/07/owl#Thing"
1,"http://dbpedia.org/property/frazioni","http://dbpedia.org/ontology/Eukaryote"
60,"http://dbpedia.org/property/hairColor","http://dbpedia.org/ontology/Colour"
16,"http://dbpedia.org/property/homeTown","http://dbpedia.org/ontology/Town"
46,"http://dbpedia.org/property/infraordo","http://dbpedia.org/ontology/Mammal"
1,"http://dbpedia.org/property/institute","http://dbpedia.org/ontology/Organisation"
1,"http://dbpedia.org/property/leadername","http://www.w3.org/2002/07/owl#Thing"
1008,"http://dbpedia.org/property/placebirth","http://www.w3.org/2002/07/owl#Thing"
702,"http://dbpedia.org/property/postTown","http://www.w3.org/2002/07/owl#Thing"
702,"http://dbpedia.org/property/postTown","http://dbpedia.org/ontology/PopulatedPlace"
1,"http://dbpedia.org/property/previousClubs","http://dbpedia.org/ontology/Organisation"
1,"http://dbpedia.org/property/relatives","http://www.opengis.net/gml/_Feature"
1,"http://dbpedia.org/property/veneratedIn","http://dbpedia.org/ontology/Settlement"
202,"http://dbpedia.org/ontology/artery","http://dbpedia.org/ontology/Artery"
88,"http://dbpedia.org/property/academicAdvisors","http://dbpedia.org/ontology/Person"
26,"http://dbpedia.org/property/appointer","http://dbpedia.org/ontology/BritishRoyalty"
5,"http://dbpedia.org/property/bowlname","http://dbpedia.org/ontology/Place"
1,"http://dbpedia.org/property/byCountry","http://dbpedia.org/ontology/Island"
4,"http://dbpedia.org/property/confederation","http://www.opengis.net/gml/_Feature"
1,"http://dbpedia.org/property/constituencyAm","http://dbpedia.org/ontology/City"
3,"http://dbpedia.org/property/debutagainst","http://www.w3.org/2002/07/owl#Thing"
14,"http://dbpedia.org/property/eastrm","http://www.w3.org/2002/07/owl#Thing"
717,"http://dbpedia.org/property/mp","http://dbpedia.org/ontology/Person"
1,"http://dbpedia.org/property/mp","http://dbpedia.org/ontology/Athlete"
32,"http://dbpedia.org/property/org/group","http://www.w3.org/2002/07/owl#Thing"
5,"http://dbpedia.org/property/ownerOper","http://dbpedia.org/ontology/City"
26,"http://dbpedia.org/property/appointed","http://dbpedia.org/ontology/OfficeHolder"
2,"http://dbpedia.org/property/typeGenus","http://www.w3.org/2002/07/owl#Thing"
2,"http://dbpedia.org/property/typeGenus","http://dbpedia.org/ontology/Eukaryote"
1,"http://dbpedia.org/property/surname","http://dbpedia.org/ontology/Scientist"
115,"http://dbpedia.org/property/drainsto","http://dbpedia.org/ontology/AnatomicalStructure"
1,"http://dbpedia.org/property/mainContractors","http://www.opengis.net/gml/_Feature"
12,"http://dbpedia.org/property/previousAlliances","http://dbpedia.org/ontology/Person"
1,"http://dbpedia.org/property/airports","http://www.w3.org/2002/07/owl#Thing"
1,"http://dbpedia.org/property/naming","http://dbpedia.org/ontology/Place"
2,"http://dbpedia.org/property/northOther","http://dbpedia.org/ontology/ProtectedArea"
